0-0,4,7,3,1,5,6,9,8,2
1-1,2,3,5,6,9,8,4,0,7
2-0,5,4,3,1,7,6,8,9,2
3-1,8,2,9,5,3,4,6,7,0
4-5,4,1,3,7,0,6,2,9,8
5-0,4,7,3,5,1,6,9,8,2
6-5,3,4,1,6,0,9,7,8,2
7-1,5,3,4,7,6,2,8,0,9
8-1,8,9,3,2,4,5,6,0,7
9-1,5,3,4,0,7,6,2,8,9
10-0,4,3,7,6,1,5,8,9,2
11-0,4,3,7,1,5,6,8,9,2
12-0,4,7,1,5,6,3,9,8,2
13-1,3,4,5,6,7,0,2,8,9
14-0,4,3,6,5,1,7,9,8,2
15-2,1,8,0,4,3,7,5,6,9
16-4,7,5,3,6,1,9,8,0,2
17-1,2,5,3,4,6,0,8,9,7
18-1,3,4,6,5,0,2,7,9,8
19-0,4,3,5,6,7,1,9,8,2
20-7,9,8,2,4,6,3,5,1,0
21-8,2,0,9,4,7,5,1,3,6
22-4,5,1,3,2,6,0,7,8,9
23-5,0,1,3,4,9,6,8,7,2
24-1,2,5,4,3,6,9,8,0,7
25-1,3,4,5,2,9,6,8,7,0
26-1,3,5,4,6,0,8,9,2,7
27-1,5,3,4,0,6,2,8,9,7
28-1,3,5,4,6,0,7,2,9,8
29-4,0,3,7,1,5,6,8,9,2
30-1,3,5,4,6,8,9,7,0,2
31-0,4,1,3,5,6,8,9,7,2
32-3,1,5,6,4,0,2,8,9,7
33-1,2,3,4,5,6,8,9,7,0
34-1,8,4,3,9,6,5,0,2,7
35-2,1,3,0,5,8,4,6,7,9
36-1,3,2,4,6,5,8,9,7,0
37-1,2,3,4,5,6,0,8,9,7
38-4,3,0,7,9,8,6,5,1,2
39-1,3,4,8,9,6,5,0,7,2
40-1,8,3,4,5,6,9,2,0,7
41-0,4,1,3,7,6,5,8,9,2
42-1,8,3,4,5,6,2,9,0,7
43-1,8,2,3,4,5,9,6,7,0
44-4,0,3,5,1,6,8,7,9,2
45-3,4,1,5,6,2,0,7,8,9
46-0,4,3,5,7,9,6,8,1,2
47-2,0,8,9,7,5,4,3,1,6
48-1,8,3,4,9,5,6,0,2,7
49-0,4,7,3,1,5,6,8,9,2
50-0,4,3,7,1,6,5,8,9,2
51-9,7,6,4,3,1,5,8,2,0
52-9,7,6,5,3,4,1,8,0,2
53-6,3,1,9,4,5,7,8,0,2
54-0,4,3,1,6,5,7,9,8,2
55-6,1,3,9,7,5,4,0,8,2
56-0,4,7,3,6,5,9,1,8,2
57-5,3,1,4,6,0,9,7,8,2
58-5,3,1,4,6,0,7,9,8,2
59-6,1,3,4,5,0,9,8,2,7
60-6,7,9,3,4,0,1,2,5,8
61-0,4,3,1,6,7,5,9,8,2
62-0,5,3,4,7,6,1,8,9,2
63-5,4,6,7,3,1,0,9,8,2
64-9,0,4,3,6,5,1,8,7,2
65-3,5,1,0,6,4,7,2,8,9
66-5,1,3,4,6,0,8,9,7,2
67-2,9,1,8,6,5,3,4,0,7
68-5,3,1,2,4,6,0,8,9,7
69-2,5,0,7,8,9,1,6,4,3
70-0,5,6,4,3,1,8,7,9,2
71-8,2,0,7,4,9,1,5,3,6
