0-0,4,3,7,1,5,6,8,9,2
1-1,8,2,5,3,4,6,0,9,7
2-0,4,3,7,1,5,8,6,9,2
3-1,8,2,5,3,4,7,0,6,9
4-5,1,3,4,6,7,2,0,8,9
5-0,4,3,7,1,5,6,8,9,2
6-5,1,3,4,6,0,7,9,8,2
7-5,1,2,3,4,7,0,6,9,8
8-1,8,3,4,5,7,6,0,2,9
9-1,3,5,4,6,7,2,0,8,9
10-0,4,7,3,1,5,6,2,8,9
11-0,4,7,1,5,3,6,2,8,9
12-0,4,7,1,3,5,6,2,8,9
13-1,3,4,7,5,8,0,2,6,9
14-0,4,7,3,1,5,6,8,9,2
15-2,8,1,5,0,7,3,4,9,6
16-4,7,5,3,1,0,6,2,9,8
17-2,1,4,0,5,3,7,8,6,9
18-1,5,3,4,0,6,7,2,9,8
19-0,4,3,7,1,5,6,9,8,2
20-9,8,7,4,3,6,0,5,2,1
21-9,8,3,4,7,0,6,5,2,1
22-4,1,3,0,9,7,5,2,6,8
23-5,9,0,1,2,8,4,3,7,6
24-2,1,3,4,5,7,6,8,9,0
25-5,1,4,3,7,0,2,6,8,9
26-1,3,4,5,6,0,2,8,9,7
27-1,5,3,4,6,7,9,2,0,8
28-5,1,3,4,6,7,2,9,0,8
29-0,4,7,1,3,5,6,2,8,9
30-3,5,1,7,6,4,8,0,9,2
31-1,0,3,4,5,7,6,8,2,9
32-5,1,3,6,7,4,0,8,2,9
33-1,2,5,6,9,8,0,3,4,7
34-5,1,8,3,4,7,6,0,2,9
35-1,2,5,8,4,7,6,3,0,9
36-2,1,5,6,4,0,3,7,8,9
37-1,2,5,8,3,4,7,6,0,9
38-1,0,2,5,6,4,3,7,8,9
39-1,3,8,4,7,5,0,2,6,9
40-1,8,7,5,4,6,3,0,9,2
41-0,4,7,1,5,6,3,8,9,2
42-1,8,5,3,4,7,2,6,0,9
43-1,8,5,6,4,7,3,2,9,0
44-0,2,4,7,5,1,3,6,8,9
45-1,5,3,4,7,2,6,0,8,9
46-0,4,3,7,5,1,9,8,6,2
47-2,8,0,4,3,1,7,6,9,5
48-1,8,3,4,7,2,5,6,0,9
49-0,7,4,3,5,1,6,8,9,2
50-0,7,4,3,1,5,6,2,8,9
51-6,9,7,4,8,5,1,3,2,0
52-7,6,1,9,4,3,5,2,8,0
53-6,1,9,3,2,4,7,5,8,0
54-0,4,3,1,7,5,2,8,6,9
55-9,7,1,6,5,2,3,4,8,0
56-0,4,7,3,1,5,6,8,9,2
57-5,1,4,6,3,7,0,8,2,9
58-1,5,6,4,3,0,7,8,9,2
59-6,5,1,7,3,4,9,8,0,2
60-6,1,7,5,3,4,9,2,0,8
61-0,4,7,3,6,5,1,9,8,2
62-0,4,3,1,7,5,6,9,8,2
63-0,4,3,7,1,5,6,8,9,2
64-0,9,8,1,4,3,5,6,7,2
65-1,4,5,0,3,6,7,8,2,9
66-5,4,3,1,7,6,9,8,0,2
67-2,1,0,8,5,6,3,9,7,4
68-5,1,3,6,4,7,9,8,0,2
69-2,0,1,8,5,3,4,7,6,9
70-0,1,5,3,4,7,6,8,9,2
71-8,9,2,6,5,1,3,7,4,0
