0-4,0,7,3,5,6,1,8,9,2
1-1,3,6,5,7,0,4,8,9,2
2-0,4,5,7,1,3,6,9,8,2
3-1,8,2,3,5,6,9,4,7,0
4-5,1,3,6,4,7,0,8,9,2
5-0,4,7,5,6,1,3,8,9,2
6-5,1,0,3,4,9,6,7,8,2
7-5,1,6,0,7,3,4,2,8,9
8-8,1,2,9,7,3,4,6,5,0
9-1,5,0,8,3,4,6,7,9,2
10-0,4,7,1,5,6,3,9,8,2
11-0,4,3,1,5,7,6,9,8,2
12-7,1,4,3,0,5,6,8,9,2
13-1,3,7,4,5,8,0,6,2,9
14-0,4,7,6,5,3,1,9,8,2
15-8,2,1,0,7,9,5,6,4,3
16-4,5,7,1,6,2,8,0,3,9
17-1,2,5,7,4,3,0,8,9,6
18-1,6,5,0,3,9,8,4,7,2
19-0,4,7,3,1,5,6,8,9,2
20-7,0,9,6,2,8,5,4,3,1
21-7,0,2,8,9,1,4,3,6,5
22-4,0,3,1,9,5,8,7,2,6
23-0,9,5,2,1,4,3,8,6,7
24-2,1,8,5,6,7,9,3,4,0
25-1,5,3,4,7,0,6,8,9,2
26-5,1,3,6,4,9,2,0,8,7
27-5,1,6,0,8,9,3,4,2,7
28-4,3,5,6,1,0,9,7,8,2
29-0,4,3,1,7,6,5,9,8,2
30-6,5,3,1,7,4,9,8,0,2
31-6,1,7,0,3,5,4,2,9,8
32-5,1,6,3,0,4,7,8,9,2
33-2,1,8,9,5,6,3,4,7,0
34-1,2,8,3,6,4,5,7,9,0
35-2,1,8,0,5,3,7,4,6,9
36-2,1,3,4,0,9,8,5,6,7
37-1,2,8,3,5,4,6,7,9,0
38-7,0,8,9,2,5,6,1,3,4
39-1,8,3,5,6,7,4,2,9,0
40-8,1,2,7,3,5,6,4,9,0
41-0,4,7,5,1,3,6,8,9,2
42-1,8,2,5,9,7,3,6,4,0
43-8,1,2,3,5,4,9,7,6,0
44-0,5,1,4,7,9,6,3,8,2
45-3,4,5,1,7,0,9,6,8,2
46-0,9,4,7,3,5,1,6,8,2
47-2,0,8,7,9,6,1,5,4,3
48-1,3,8,7,5,6,9,4,2,0
49-0,4,7,3,5,1,6,8,9,2
50-0,4,7,1,5,6,3,9,8,2
51-6,7,5,9,3,4,1,8,0,2
52-7,6,9,5,3,4,1,8,0,2
53-6,7,3,4,1,0,5,8,9,2
54-9,0,7,2,8,5,6,1,4,3
55-6,7,9,5,3,4,1,2,8,0
56-0,4,7,3,9,8,5,6,1,2
57-5,1,6,9,3,0,4,8,7,2
58-5,1,6,3,0,8,9,4,7,2
59-6,5,1,3,4,7,9,8,0,2
60-6,5,1,3,4,7,8,0,9,2
61-0,4,3,7,6,5,1,8,9,2
62-6,5,3,4,1,0,7,9,8,2
63-0,6,5,4,3,7,1,8,9,2
64-9,8,0,5,1,4,7,6,3,2
65-3,1,5,0,4,6,2,9,8,7
66-5,4,3,6,1,9,8,7,2,0
67-2,1,6,8,7,9,5,3,4,0
68-5,3,1,6,4,8,9,0,7,2
69-7,9,0,2,1,6,8,5,3,4
70-0,4,8,9,6,5,3,7,1,2
71-8,2,9,7,4,3,1,5,0,6
