0-0,7,4,3,5,1,6,8,9,2
1-1,2,8,3,6,5,7,0,4,9
2-0,4,7,5,6,1,3,2,8,9
3-8,1,2,3,5,9,6,4,7,0
4-5,1,4,6,3,9,7,2,0,8
5-0,4,7,3,5,1,6,8,9,2
6-5,1,3,4,6,7,0,9,8,2
7-5,1,3,2,4,7,6,0,9,8
8-1,8,2,3,7,6,9,5,4,0
9-1,3,5,4,2,6,7,0,9,8
10-0,4,3,5,1,7,6,9,2,8
11-0,4,5,7,1,3,6,2,8,9
12-0,4,7,5,1,3,6,9,2,8
13-3,5,1,4,6,0,2,7,8,9
14-0,4,3,5,1,7,6,9,2,8
15-2,8,1,0,4,7,3,9,6,5
16-4,5,3,7,1,6,9,0,8,2
17-2,1,0,5,3,9,6,4,8,7
18-3,1,4,0,6,5,7,8,2,9
19-0,4,5,7,3,1,6,9,2,8
20-8,9,3,7,6,5,4,1,2,0
21-8,2,7,9,4,0,3,5,1,6
22-3,1,5,9,4,0,2,7,8,6
23-5,9,0,6,3,7,8,1,2,4
24-2,1,5,0,8,3,4,6,7,9
25-1,5,3,2,4,0,7,6,8,9
26-1,3,4,5,6,0,7,2,8,9
27-5,1,3,4,0,6,2,7,9,8
28-5,1,3,2,4,0,6,7,8,9
29-0,4,3,7,5,1,6,8,9,2
30-5,3,1,6,4,9,7,8,0,2
31-0,1,6,7,5,4,3,8,2,9
32-5,3,1,6,7,2,0,4,9,8
33-2,1,5,3,4,6,7,0,8,9
34-1,8,5,6,3,7,2,0,4,9
35-2,1,5,3,0,8,7,9,4,6
36-1,2,3,0,5,6,7,4,8,9
37-1,2,5,0,3,4,8,7,6,9
38-4,3,1,5,7,6,0,2,9,8
39-1,3,8,5,6,7,4,2,0,9
40-1,8,2,3,7,6,4,0,5,9
41-0,4,3,1,7,5,6,9,2,8
42-1,2,8,5,4,9,6,7,3,0
43-1,8,2,3,5,6,7,4,9,0
44-0,4,5,1,7,6,3,9,8,2
45-1,5,4,3,2,0,7,6,9,8
46-0,4,3,7,1,5,9,6,8,2
47-2,0,8,7,5,4,1,9,6,3
48-1,8,2,3,4,5,7,6,9,0
49-0,4,7,6,1,3,2,8,9,5
50-0,4,5,3,1,6,7,9,2,8
51-6,7,3,5,9,1,4,0,8,2
52-6,7,9,1,5,3,4,8,2,0
53-6,3,1,5,7,2,8,0,9,4
54-0,5,4,3,7,1,9,8,6,2
55-6,1,5,9,3,2,7,4,0,8
56-0,4,3,7,5,1,6,8,9,2
57-5,1,3,7,6,0,8,2,9,4
58-5,3,4,6,7,9,8,1,2,0
59-6,5,3,1,4,7,0,8,9,2
60-6,1,5,3,2,7,4,9,8,0
61-0,4,5,1,6,7,2,3,8,9
62-0,4,5,7,3,6,8,1,9,2
63-0,4,3,1,5,7,6,8,9,2
64-0,5,7,6,1,4,3,8,9,2
65-3,1,5,7,6,8,9,0,2,4
66-5,6,1,3,4,7,8,9,0,2
67-2,6,1,5,7,3,8,4,0,9
68-5,1,3,6,0,8,7,9,4,2
69-0,2,5,1,3,7,6,9,8,4
70-0,4,1,5,3,7,6,8,9,2
71-8,2,7,1,0,9,3,6,5,4
