0-4,3,2,0,1,5,7,8,6,9
1-7,8,9,6,5,3,4,2,0,1
2-1,4,0,5,6,2,3,7,8,9
3-7,8,1,5,2,4,3,6,9,0
4-5,1,3,4,2,6,7,0,8,9
5-4,3,0,7,5,1,6,2,9,8
6-5,3,6,4,1,0,7,2,8,9
7-5,3,4,6,2,0,1,7,8,9
8-1,8,5,3,7,6,0,4,9,2
9-5,4,6,1,7,0,3,8,9,2
10-0,1,4,5,6,7,3,8,9,2
11-0,4,6,3,5,1,7,8,9,2
12-0,5,7,1,3,4,6,2,9,8
13-0,5,6,1,2,7,3,8,9,4
14-0,3,4,6,5,1,7,8,9,2
15-2,1,6,5,7,8,9,3,4,0
16-5,4,0,1,6,7,2,9,8,3
17-0,1,4,3,5,6,7,8,9,2
18-1,5,0,6,2,7,8,3,4,9
19-0,1,5,6,7,8,3,4,9,2
20-0,5,6,7,8,9,4,3,2,1
21-5,0,6,7,8,9,4,3,2,1
22-0,1,3,4,5,6,7,8,9,2
23-5,0,1,3,4,9,8,7,2,6
24-1,5,6,3,4,0,7,8,9,2
25-3,5,4,6,7,8,0,1,2,9
26-1,5,6,7,3,8,4,9,2,0
27-5,1,3,4,7,6,8,9,2,0
28-1,5,3,4,7,6,8,9,2,0
29-0,3,4,5,1,6,7,8,9,2
30-5,1,3,4,8,6,7,9,2,0
31-0,1,5,6,7,9,8,2,3,4
32-5,6,7,8,9,3,4,2,0,1
33-5,6,7,9,8,4,3,2,1,0
34-5,7,6,8,9,4,3,2,1,0
35-5,6,0,1,7,2,8,3,9,4
36-5,0,1,6,7,2,8,3,9,4
37-5,0,6,1,7,2,8,3,9,4
38-5,0,6,1,7,2,8,3,9,4
39-5,1,0,6,7,2,8,3,9,4
40-5,6,0,1,7,2,8,3,9,4
41-0,5,6,1,7,2,8,3,9,4
42-5,6,0,7,8,9,2,3,1,4
43-5,0,6,1,7,8,2,3,9,4
44-2,5,6,8,7,9,4,3,0,1
45-4,3,5,6,0,7,1,9,8,2
46-0,5,6,1,7,2,8,3,9,4
47-2,1,0,5,6,7,8,3,9,4
48-5,1,6,7,2,8,3,9,4,0
49-0,3,4,6,5,1,7,8,2,9
50-5,0,6,1,7,8,2,9,3,4
51-5,6,7,0,1,8,3,9,4,2
52-5,6,7,8,9,1,3,4,2,0
53-5,6,7,0,1,2,8,3,9,4
54-5,0,6,1,7,2,8,9,3,4
55-5,0,6,1,7,2,8,3,9,4
56-5,6,0,1,7,2,8,3,9,4
57-5,6,7,8,9,0,1,3,2,4
58-5,1,6,7,8,9,3,4,0,2
59-5,6,1,7,3,4,8,9,0,2
60-5,6,7,8,9,4,3,1,0,2
61-5,6,7,8,9,4,3,1,2,0
62-5,6,0,1,7,8,9,3,4,2
63-5,0,6,1,7,8,9,4,3,2
64-5,6,7,9,8,4,3,2,1,0
65-5,6,7,8,0,1,2,9,4,3
66-5,6,7,8,0,9,2,1,3,4
67-2,5,6,7,8,9,4,3,1,0
68-5,3,6,0,1,7,8,9,4,2
69-5,0,6,7,8,9,2,1,3,4
70-5,0,6,1,7,2,8,9,4,3
71-5,0,1,2,3,6,4,7,8,9
