0-0,4,3,1,7,5,6,2,8,9
1-1,3,8,2,9,5,4,0,6,7
2-0,4,1,3,5,6,8,2,7,9
3-1,8,9,5,2,3,4,0,6,7
4-5,4,3,1,6,7,0,8,9,2
5-0,4,3,1,7,5,6,8,9,2
6-5,4,3,1,0,6,8,9,7,2
7-5,1,3,6,4,7,0,9,8,2
8-1,8,9,5,3,6,7,4,0,2
9-1,4,0,3,5,6,7,8,9,2
10-0,4,3,1,5,6,7,8,9,2
11-0,4,3,1,5,6,7,8,9,2
12-0,4,3,1,5,6,7,8,9,2
13-1,4,3,5,8,0,6,7,9,2
14-0,4,3,1,5,6,7,8,9,2
15-2,1,8,0,4,9,5,6,3,7
16-4,5,3,0,1,7,2,9,8,6
17-0,4,1,3,5,6,2,8,9,7
18-1,4,3,5,0,6,8,9,7,2
19-0,4,3,1,5,6,7,9,8,2
20-7,9,8,6,5,0,4,3,1,2
21-7,9,8,6,2,0,5,4,3,1
22-6,9,7,8,1,4,5,3,0,2
23-5,9,7,0,4,3,8,6,1,2
24-2,1,5,6,8,3,7,4,0,9
25-1,5,3,4,6,0,7,9,8,2
26-3,4,6,5,0,1,8,9,7,2
27-4,0,5,1,6,3,8,9,7,2
28-5,4,3,0,1,6,9,7,2,8
29-0,4,3,1,5,6,7,8,9,2
30-5,3,6,4,0,1,7,8,9,2
31-0,1,4,3,5,6,7,8,9,2
32-5,4,3,1,6,0,8,9,7,2
33-1,2,8,5,6,9,7,3,4,0
34-1,3,8,9,5,6,4,0,7,2
35-1,2,8,9,5,6,7,3,4,0
36-1,2,4,0,3,5,6,7,8,9
37-1,2,5,6,4,0,8,9,3,7
38-0,4,3,1,5,6,7,9,8,2
39-1,3,4,5,8,6,7,9,0,2
40-1,8,3,4,5,9,6,7,0,2
41-0,4,5,1,3,6,9,7,8,2
42-1,2,8,4,5,6,9,7,3,0
43-1,2,8,5,6,7,9,3,4,0
44-0,4,3,1,5,6,7,8,9,2
45-1,5,2,3,4,0,6,9,8,7
46-0,4,3,5,1,6,7,8,9,2
47-2,0,9,8,7,6,5,4,3,1
48-1,8,6,4,3,5,0,9,2,7
49-0,4,7,6,5,8,3,1,2,9
50-0,4,7,6,3,5,1,8,2,9
51-6,7,9,5,8,3,4,0,1,2
52-7,6,9,2,5,8,0,4,1,3
53-5,6,1,2,4,3,7,8,9,0
54-0,4,3,9,8,2,7,1,5,6
55-1,7,5,6,3,9,8,4,0,2
56-0,4,3,9,7,6,1,5,2,8
57-1,5,3,0,4,6,7,9,8,2
58-1,3,5,4,0,6,9,8,2,7
59-1,5,4,3,0,6,9,8,7,2
60-1,7,2,5,8,9,6,3,4,0
61-0,4,6,3,5,7,1,9,8,2
62-0,4,3,7,1,5,6,8,9,2
63-0,4,1,3,5,6,7,8,9,2
64-0,9,4,5,3,1,6,8,7,2
65-3,5,4,0,1,6,8,9,2,7
66-5,4,3,6,9,1,0,8,7,2
67-2,1,7,6,9,8,5,3,4,0
68-5,3,1,6,9,8,4,7,0,2
69-0,2,5,9,8,6,1,3,4,7
70-0,4,6,5,1,9,3,8,7,2
71-8,9,7,2,6,1,5,0,4,3
