0-0,4,7,3,5,6,1,8,9,2
1-1,2,8,6,5,3,4,9,0,7
2-0,4,5,1,7,3,6,8,9,2
3-1,8,2,7,9,6,5,3,0,4
4-5,1,3,4,6,7,0,9,8,2
5-0,4,3,5,7,1,6,9,8,2
6-5,3,1,6,0,4,2,8,9,7
7-5,6,1,3,4,0,2,8,9,7
8-1,8,3,5,9,2,6,7,4,0
9-1,3,4,5,6,0,2,7,8,9
10-0,4,3,6,5,7,8,9,1,2
11-0,4,3,6,5,7,8,9,1,2
12-0,4,1,3,5,7,6,2,8,9
13-1,3,5,4,8,9,7,2,0,6
14-0,4,3,5,6,1,9,7,8,2
15-2,1,8,0,7,9,3,4,6,5
16-4,0,3,5,7,6,2,1,9,8
17-0,2,3,1,5,6,4,9,8,7
18-3,1,5,6,0,2,4,8,9,7
19-0,3,4,5,6,1,7,8,9,2
20-7,9,8,2,5,3,4,0,1,6
21-7,9,8,2,5,3,4,0,1,6
22-3,1,5,4,0,2,6,8,9,7
23-5,0,6,1,4,3,2,8,9,7
24-2,1,5,6,3,8,4,7,9,0
25-5,1,3,4,6,8,7,2,0,9
26-1,3,5,4,6,9,2,8,0,7
27-1,5,3,4,0,6,2,8,9,7
28-5,6,1,3,4,0,2,8,9,7
29-0,4,3,6,5,1,7,8,9,2
30-5,6,3,1,8,4,7,9,0,2
31-0,4,1,6,5,3,9,7,8,2
32-1,5,3,4,6,0,2,9,8,7
33-1,2,3,5,8,7,6,9,4,0
34-1,8,6,3,7,2,4,9,5,0
35-2,1,5,3,8,6,0,9,4,7
36-1,0,2,3,5,6,8,4,9,7
37-2,1,3,5,8,6,4,7,9,0
38-2,3,4,8,7,6,5,9,1,0
39-1,8,3,5,6,9,2,7,4,0
40-1,8,3,6,5,9,2,7,4,0
41-0,4,3,1,5,6,7,9,8,2
42-1,2,8,3,6,9,5,7,4,0
43-1,2,8,3,6,9,5,7,4,0
44-0,4,3,5,1,7,6,8,9,2
45-1,5,3,6,2,0,4,8,9,7
46-0,4,3,5,9,8,6,2,7,1
47-2,0,8,9,7,6,5,3,1,4
48-1,8,3,5,6,9,2,7,4,0
49-0,7,4,3,5,6,9,1,8,2
50-0,4,7,3,9,1,5,6,8,2
51-6,9,5,7,1,8,3,4,2,0
52-7,6,9,5,3,4,1,0,2,8
53-6,5,1,7,9,3,0,8,4,2
54-0,4,5,3,7,1,2,6,9,8
55-6,7,9,3,4,5,0,1,8,2
56-0,4,3,7,9,8,1,2,5,6
57-5,3,6,1,4,0,2,8,9,7
58-5,3,6,1,4,0,2,8,9,7
59-6,5,3,1,4,0,2,7,9,8
60-6,5,7,1,3,2,4,0,9,8
61-0,3,4,1,5,6,8,9,2,7
62-0,4,3,6,5,1,7,8,9,2
63-0,4,6,5,1,3,7,9,8,2
64-9,0,7,3,8,5,1,6,4,2
65-3,1,5,4,0,6,2,8,9,7
66-5,1,3,6,4,0,9,7,8,2
67-1,2,7,9,8,6,5,3,4,0
68-5,3,1,4,6,0,7,8,9,2
69-7,2,0,1,9,4,8,5,6,3
70-0,4,3,8,9,5,6,1,2,7
71-8,9,7,2,0,1,3,4,5,6
