0-0,4,3,7,6,5,1,9,8,2
1-1,6,3,2,8,5,4,9,0,7
2-0,4,5,3,7,6,9,1,2,8
3-1,2,8,9,6,4,5,3,0,7
4-5,6,4,3,1,9,0,2,8,7
5-0,4,6,5,7,3,1,9,8,2
6-5,6,1,4,9,0,3,7,2,8
7-5,4,2,0,1,6,9,3,8,7
8-1,8,9,3,6,7,4,2,5,0
9-1,4,3,5,0,6,9,8,2,7
10-0,4,3,6,7,5,9,1,2,8
11-0,4,3,6,7,9,1,5,2,8
12-0,4,5,1,2,7,6,3,9,8
13-4,3,1,0,5,2,6,8,7,9
14-0,4,3,9,6,8,1,5,7,2
15-2,8,1,0,7,9,3,6,4,5
16-4,5,0,6,7,9,1,8,3,2
17-1,2,0,4,3,5,8,6,9,7
18-3,1,6,0,4,5,9,2,8,7
19-0,5,6,4,1,3,9,8,7,2
20-8,0,9,7,6,2,4,5,3,1
21-8,0,9,2,6,7,5,3,4,1
22-4,3,5,0,9,6,1,8,2,7
23-5,9,8,0,2,6,1,4,3,7
24-2,1,4,3,8,5,6,9,7,0
25-1,5,4,3,0,8,9,7,2,6
26-1,3,4,6,5,0,8,2,9,7
27-5,3,1,4,0,6,2,8,9,7
28-5,1,3,6,0,4,2,8,9,7
29-0,4,3,5,6,1,7,9,8,2
30-5,1,6,4,3,9,8,0,7,2
31-1,0,4,6,3,5,8,9,7,2
32-6,5,1,3,4,9,0,8,2,7
33-2,1,8,3,5,4,9,6,0,7
34-1,5,8,4,3,2,6,0,9,7
35-2,1,0,8,5,4,3,6,9,7
36-1,2,0,5,4,3,8,6,9,7
37-1,2,5,8,4,3,0,6,9,7
38-0,4,7,3,1,9,6,5,8,2
39-1,3,6,8,4,5,2,0,9,7
40-1,8,2,3,6,7,9,4,5,0
41-0,4,5,3,1,6,8,9,2,7
42-1,8,2,7,6,4,5,3,9,0
43-1,8,2,7,6,3,4,5,9,0
44-0,5,4,1,3,6,2,9,8,7
45-1,5,4,3,2,0,6,9,8,7
46-0,9,4,8,5,2,3,1,7,6
47-2,8,9,0,1,4,3,6,7,5
48-1,3,8,4,2,5,9,0,6,7
49-0,7,9,4,6,3,5,8,1,2
50-0,7,4,6,5,3,1,9,8,2
51-6,7,9,5,4,8,3,1,2,0
52-6,7,9,3,1,5,4,8,2,0
53-6,1,2,7,9,5,3,4,0,8
54-0,9,7,6,5,4,3,1,8,2
55-6,3,7,4,1,9,5,0,2,8
56-0,4,7,8,9,3,2,6,5,1
57-6,5,3,1,4,0,9,8,7,2
58-6,5,3,1,0,4,8,9,2,7
59-6,5,3,1,4,9,0,8,7,2
60-6,3,1,5,2,4,9,7,8,0
61-0,6,5,4,3,1,7,9,8,2
62-0,4,6,5,3,1,9,8,7,2
63-0,4,3,6,5,1,9,8,7,2
64-0,9,8,4,5,3,1,6,2,7
65-3,5,1,0,4,6,8,9,2,7
66-5,4,1,3,6,9,0,8,2,7
67-2,1,8,9,7,6,5,3,4,0
68-5,3,6,4,1,9,0,8,2,7
69-2,0,8,6,5,9,1,7,4,3
70-0,4,9,8,5,6,3,7,1,2
71-8,9,7,2,0,1,6,5,4,3
